2017-09-20 01:51:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dgotda2uypgggyvrmbkzlwt0 ; 
2017-09-20 01:53:39 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : dgotda2uypgggyvrmbkzlwt0 ; 
2017-09-20 01:55:06 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 01:55:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 01:57:05 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 01:57:44 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 01:57:55 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 01:58:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 01:59:21 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:02:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:02:24 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:02:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:02:45 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:03:01 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:04:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:05:17 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:05:45 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:06:16 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:07:50 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:08:02 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:08:02 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:08:02 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:08:02 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : sxtxqjmikecusczhuwa3aecq ; 
2017-09-20 02:09:22 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nyad0crqa40hvfmbqs435rru ; 
2017-09-20 02:09:28 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nyad0crqa40hvfmbqs435rru ; 
2017-09-20 02:09:31 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nyad0crqa40hvfmbqs435rru ; 
2017-09-20 02:10:13 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nyad0crqa40hvfmbqs435rru ; 
2017-09-20 02:10:48 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : nyad0crqa40hvfmbqs435rru ; 
2017-09-20 02:15:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zttihlxxblhcbqj3hyy5gqgf ; 
2017-09-20 02:15:31 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zttihlxxblhcbqj3hyy5gqgf ; 
2017-09-20 02:15:40 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : zttihlxxblhcbqj3hyy5gqgf ; 
2017-09-20 02:15:40 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Enrollment Link Status Updated Successfully ; SessionId : zttihlxxblhcbqj3hyy5gqgf ; 
2017-09-20 02:15:40 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : zttihlxxblhcbqj3hyy5gqgf ; 
2017-09-20 02:15:41 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : zttihlxxblhcbqj3hyy5gqgf ; 
2017-09-20 02:18:32 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : jguk2xltsntyemxayuxyq2pr ; 
2017-09-20 02:18:52 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1nldn3utrx1oiwms3iq2hi5z ; 
2017-09-20 02:21:14 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : htt55fyw1u2hndhbtuyzln1b ; 
2017-09-20 02:21:56 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : l5u12afd5itb21jijrdsjeci ; 
2017-09-20 02:21:57 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : l5u12afd5itb21jijrdsjeci ; 
2017-09-20 02:21:57 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : l5u12afd5itb21jijrdsjeci ; 
2017-09-20 02:22:37 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1fcwfszlew3epv5q0anhqtdv ; 
2017-09-20 02:23:26 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bsvvqoh3zvh5bcodak1dmksr ; 
2017-09-20 02:24:19 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bsvvqoh3zvh5bcodak1dmksr ; 
2017-09-20 02:25:34 => UserID : 27448 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : bsvvqoh3zvh5bcodak1dmksr ; 
2017-09-20 05:35:05 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : qrumi0jynrqekp15yzispsdx ; 
