2017-04-26 09:27:48 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:27:48 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:28:53 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:28:53 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:28:54 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:29:00 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:34:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:34:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:34:45 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:34:48 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-26 09:35:11 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
