2017-09-13 09:42:17 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xl3qvvcusg2ndagpci54byj4 ; 
2017-09-13 09:42:32 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xl3qvvcusg2ndagpci54byj4 ; 
2017-09-13 09:44:48 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xl3qvvcusg2ndagpci54byj4 ; 
2017-09-13 09:45:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : xl3qvvcusg2ndagpci54byj4 ; 
2017-09-13 09:49:58 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:50:42 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:51:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:58:08 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:58:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:58:36 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:59:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 09:59:27 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 10:00:09 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 10:00:48 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 10:02:16 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 10:02:25 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : 1jkpkvxzhbno3wik5jcxqwp5 ; 
2017-09-13 10:08:15 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:08:43 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
2017-09-13 10:09:53 => UserID :  ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : du4sqon04sdacg2woju5j2pq ; 
