2017-04-27 11:46:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:46:44 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:46:47 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:47:49 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:55:18 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:55:19 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Name / Password Validation - Failure ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:56:50 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:56:50 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:56:51 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:56:52 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:59:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:59:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:59:21 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 11:59:23 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:01:00 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:06:19 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:06:19 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:06:20 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:06:21 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:06:29 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - END ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:09:51 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : User Existance - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:09:51 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : OTPValidation - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:09:52 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Change Password - Success ; SessionId : 12p0zjy22srthc2elqfj41do ; 
2017-04-27 12:09:53 => UserID : 34501 ; Message : CHANGE_PASSWORD ; TrStatus : Create SNOW ITSM incident - START ; SessionId : 12p0zjy22srthc2elqfj41do ; 
