2017-01-25 11:29:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:29:42 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:29:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:30:43 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:30:44 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:30:45 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:39:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:39:53 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:39:54 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:40:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:40:52 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:41:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:41:15 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:41:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:41:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:41:46 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:41:47 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:42:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : DOB Validation - Success ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:42:08 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:46:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:46:38 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:46:40 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:47:28 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User NOT Registered For OTP ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
2017-01-25 11:47:30 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : orsmdhs3ndwr2kdcue2foter ; 
