2017-04-19 10:18:39 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:18:40 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:19:55 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:19:56 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:20:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:21:16 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:21:18 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:35:04 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:35:07 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:35:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:35:50 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:56:03 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:56:03 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:56:45 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:56:45 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:56:51 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:57:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : OTP sent , now redirecting to RegisterUserInformation ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:57:20 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:57:29 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Submit - Validate user otp ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:57:37 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : valid OTP, now redirecting to reset password ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:58:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : User mobile number updated in AD ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 10:58:01 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
2017-04-19 11:01:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : vjixf0c5r4xyndlopr0g5s2h ; 
