2017-04-05 02:39:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:39:58 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:08 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:08 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:09 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:12 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:44 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:44 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Register User in ART - Success ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 02:40:44 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:18:29 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Started ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:18:30 => UserID : 34501 ; Message : UserEnroll :: Login ; TrStatus : Valid login ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:18:30 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:18:48 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:19:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Sending OTP - Failure ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:19:33 => UserID : 34501 ; Message : UserEnroll :: Register_User_Info ; TrStatus : Page load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
2017-04-05 04:19:50 => UserID : 34501 ; Message : UserEnroll :: Register ; TrStatus : Page Load ; SessionId : kfbii0cswh1mp5pt2tmmq4ir ; 
